95 130
93 94 89
95 96 91
98 99 94
99 99 97
100 100 98
102 102 100
105 105 103
107 107 107
105 105 105
106 106 108
108 108 110
107 107 109
106 106 108
105 104 109
106 105 110
108 107 112
112 112 114
113 113 115
115 115 117
116 116 118
116 116 118
115 115 117
114 114 116
113 113 115
113 113 115
113 113 115
113 113 115
113 113 115
113 113 115
111 111 113
110 110 112
109 109 111
103 103 103
105 105 105
107 107 107
109 109 109
109 109 109
107 107 107
105 105 105
103 103 103
102 102 102
102 102 102
102 102 102
102 102 102
103 103 103
105 105 105
107 107 107
108 108 108
108 107 112
108 107 112
108 107 112
108 108 110
108 108 110
107 107 109
105 105 107
105 105 105
103 103 103
101 101 99
100 100 98
100 100 98
100 100 98
97 98 93
93 94 89
90 91 86
93 94 89
92 93 88
91 92 87
93 94 89
95 96 91
97 98 93
96 97 92
95 96 91
92 93 88
93 94 89
94 95 90
96 97 92
97 98 93
99 100 95
100 101 96
101 102 97
95 96 91
96 97 92
96 97 92
96 97 92
97 98 93
97 98 93
97 98 93
97 98 93
99 100 95
98 99 94
97 98 93
97 98 93
97 98 93
97 98 93
98 99 94
98 99 94
91 92 87
90 91 86
90 91 86
90 91 86
90 91 86
91 92 87
92 93 88
93 94 89
92 93 88
89 90 85
86 87 82
83 84 79
82 83 78
84 85 80
87 88 83
89 90 85
91 92 87
92 93 88
92 93 88
92 92 90
90 90 88
87 87 85
84 84 82
82 82 82
84 84 84
81 81 83
76 76 78
71 71 73
69 69 71
69 68 73
71 70 75
72 71 76
73 73 73
73 73 73
93 94 89
96 97 92
99 100 95
101 101 99
101 101 99
102 102 100
104 104 102
106 106 106
104 104 104
106 106 108
108 108 110
108 108 110
106 106 108
106 105 110
108 107 112
110 109 114
113 113 115
114 114 116
115 115 117
116 116 118
116 116 118
115 115 117
114 114 116
113 113 115
113 113 115
113 113 115
114 114 116
114 114 116
113 113 115
112 112 114
111 111 113
110 110 112
105 105 105
106 106 106
108 108 108
110 110 110
110 110 110
108 108 108
106 106 106
105 105 105
103 103 103
103 103 103
103 103 103
103 103 103
104 104 104
106 106 106
107 107 107
108 108 108
108 107 112
109 108 113
110 109 114
110 110 112
110 110 112
109 109 111
108 108 110
107 107 107
106 106 106
105 105 103
103 103 101
103 103 101
103 103 101
101 102 97
96 97 92
93 94 89
93 94 89
92 93 88
91 92 87
93 94 89
96 97 92
98 99 94
97 98 93
96 97 92
93 94 89
93 94 89
94 95 90
96 97 92
97 98 93
99 100 95
100 101 96
100 101 96
96 97 92
96 97 92
96 97 92
97 98 93
97 98 93
98 99 94
98 99 94
98 99 94
98 99 94
98 99 94
97 98 93
96 97 92
96 97 92
96 97 92
96 97 92
97 98 93
92 93 88
91 92 87
90 91 86
90 91 86
90 91 86
90 91 86
91 92 87
92 93 88
90 91 86
88 89 84
85 86 81
83 84 79
83 84 79
84 85 80
87 88 83
89 90 85
92 93 88
92 93 88
92 93 88
92 92 90
90 90 88
87 87 85
84 84 82
83 83 83
83 83 83
80 80 82
75 75 77
71 71 73
69 69 71
69 68 73
70 69 74
72 71 76
73 73 73
73 73 73
92 93 88
96 97 92
100 101 96
102 102 100
103 103 101
