87 130
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
4 9 3
4 9 3
6 8 3
8 9 4
8 9 4
9 8 4
12 8 5
13 8 5
12 7 4
14 6 4
13 5 3
13 5 3
10 5 2
9 4 1
9 4 1
9 4 1
3 9 5
3 9 5
3 9 5
4 10 6
4 10 6
2 11 6
2 11 6
2 11 6
0 7 2
0 8 2
0 9 3
0 11 5
1 12 6
3 14 8
4 15 9
4 15 9
0 14 14
0 15 15
0 15 15
1 15 16
3 14 16
4 15 17
5 15 17
6 16 18
4 12 15
4 12 15
3 13 15
2 12 14
1 11 13
0 11 13
0 10 12
0 10 12
4 6 1
5 7 2
5 10 4
6 11 5
6 13 6
5 12 5
1 11 3
0 10 2
0 9 1
0 10 2
3 10 3
4 11 4
6 11 5
6 11 5
8 10 5
7 9 4
0 17 1
0 17 1
0 14 2
0 14 2
0 12 1
0 11 2
0 9 1
1 7 3
6 8 5
7 7 5
10 6 7
11 5 7
13 4 9
14 3 9
15 2 9
15 2 9
5 7 4
5 7 4
5 7 4
5 7 4
4 6 3
4 6 3
3 5 2
3 5 2
4 6 3
4 6 3
4 6 3
4 6 3
4 6 3
4 6 3
4 6 3
4 6 3
6 8 7
6 8 7
6 8 7
6 8 7
6 8 7
6 8 7
6 8 7
6 8 7
7 9 8
7 9 8
6 8 7
5 7 6
4 6 5
3 5 4
2 4 3
2 4 3
2 4 3
2 4 3
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
3 8 2
4 9 3
6 8 3
7 8 3
8 9 4
9 8 4
11 7 4
13 8 5
12 7 4
12 7 4
11 6 3
11 6 3
10 5 2
10 5 2
8 4 1
8 4 1
4 9 5
4 9 5
4 9 5
3 9 5
3 9 5
3 9 5
3 9 5
3 9 5
0 7 2
0 8 3
0 9 4
1 10 5
2 11 6
4 13 8
5 14 9
4 15 9
0 14 14
2 14 14
2 14 14
4 14 15
4 14 15
6 14 16
8 13 16
8 13 16
6 11 14
6 11 14
6 11 14
5 10 13
2 10 12
2 10 12
2 10 12
1 9 11
5 7 2
6 8 3
7 9 4
6 11 5
6 11 5
4 11 4
3 10 3
2 9 2
1 8 1
2 9 2
3 10 3
5 10 4
6 11 5
8 10 5
7 9 4
7 9 4
0 14 3
0 14 3
0 13 2
0 12 2
0 10 2
0 10 2
1 8 1
2 7 3
6 8 5
7 7 7
8 6 7
10 6 7
11 5 9
11 5 9
13 4 9
13 4 9
5 7 4
5 7 4
5 7 4
5 7 4
4 6 3
4 6 3
3 5 2
3 5 2
4 6 3
4 6 3
4 6 3
4 6 3
4 6 3
4 6 3
4 6 3
4 6 3
6 8 7
6 8 7
6 8 7
6 8 7
6 8 7
6 8 7
6 8 7
6 8 7
7 9 8
6 8 7
6 8 7
5 7 6
4 6 5
3 5 4
2 4 3
2 4 3
2 4 3
2 4 3
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 7 2
5 7 2
6 8 3
7 8 3
7 8 3
9 8 4
9 8 4
11 7 4
11 7 4
11 7 4
10 6 3
10 6 3
10 6 3
7 6 2
7 6 2
7 6 2
5 7 6
5 7 6
5 7 6
3 7 6
3 7 6
3 7 6
3 7 6
3 7 6
2 6 5
2 6 5
2 8 6
3 9 7
5 11 9
6 12 10
7 13 11
7 13 11
4 13 10
6 12 10
6 12 10
7 13 11
8 12 11
11 13 12
11 13 12
11 13 12
9 11 10
9 11 10
8 10 9
8 10 9
8 10 9
7 9 8
5 9 8
5 9 8
7 9 6
8 10 7
8 10 7
6 11 7
5 10 6
4 9 5
2 8 4
1 7 3
2 8 4
2 8 4
4 9 5
5 10 6
6 11 7
8 10 7
7 9 6
7 9 6
3 10 3
3 10 3
3 10 3
3 10 3
3 8 4
3 8 4
3 8 4
5 7 4
6 8 5
7 7 7
7 7 7
7 7 7
8 6 7
8 6 7
8 6 7
8 6 9
5 7 4
5 7 4
5 7 4
5 7 4
4 6 3
4 6 3
3 5 2
3 5 2
4 6 3
4 6 3
4 6 3
4 6 3
4 6 3
4 6 3
4 6 3
4 6 3
6 8 7
6 8 7
6 8 7
6 8 7
6 8 7
6 8 7
6 8 7
6 8 7
6 8 7
6 8 7
5 7 6
4 6 5
4 6 5
3 5 4
2 4 3
2 4 3
2 4 3
2 4 3
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
6 7 2
6 7 2
6 7 2
7 8 3
7 8 3
8 7 3
9 8 4
9 8 4
9 8 4
9 8 4
9 8 4
8 7 3
7 8 3
7 8 3
7 8 3
7 8 3
6 6 6
6 6 6
5 7 6
4 6 5
4 6 5
4 6 5
4 6 5
3 5 4
5 7 6
5 7 6
6 8 7
7 9 8
8 10 9
9 11 10
10 12 11
10 12 11
11 11 9
11 11 9
11 11 9
11 11 9
12 11 9
12 11 9
12 11 9
12 11 9
10 9 7
10 9 7
10 9 7
10 9 7
10 9 7
10 9 7
9 8 6
9 8 6
9 11 10
9 11 10
8 10 9
6 10 9
4 8 7
3 7 6
2 6 5
2 6 5
3 7 6
4 8 7
5 9 8
6 10 9
6 10 9
7 9 8
7 9 8
6 8 7
8 6 7
8 6 7
8 6 7
8 6 7
7 5 6
6 6 6
6 6 6
6 6 6
6 8 7
6 8 7
6 8 7
4 8 7
4 8 7
4 8 7
4 8 7
4 8 7
5 7 4
5 7 4
5 7 4
5 7 4
4 6 3
4 6 3
3 5 2
3 5 2
4 6 3
4 6 3
4 6 3
4 6 3
4 6 3
4 6 3
4 6 3
4 6 3
6 8 7
6 8 7
6 8 7
6 8 7
6 8 7
6 8 7
6 8 7
6 8 7
5 7 6
5 7 6
4 6 5
4 6 5
3 5 4
3 5 4
2 4 3
2 4 3
2 4 3
2 4 3
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
6 7 2
6 7 2
6 7 2
7 8 3
7 8 3
7 8 3
8 9 4
8 9 4
7 9 4
7 9 4
7 9 4
7 9 4
7 9 4
7 9 4
7 7 7
6 6 6
6 6 6
5 5 5
5 5 5
4 4 4
4 4 4
4 4 4
7 7 7
8 8 8
8 8 8
9 9 9
9 9 9
10 10 10
10 10 10
11 11 11
14 10 7
14 10 7
14 10 7
14 10 7
14 10 7
14 10 7
14 10 7
14 10 7
11 7 4
11 7 4
12 8 5
12 8 5
12 8 5
12 8 5
12 8 5
12 8 5
8 12 11
7 11 10
6 10 9
5 9 8
4 8 7
3 7 6
3 7 6
2 6 5
4 8 7
5 9 8
5 9 8
6 10 9
6 10 9
5 9 8
4 8 7
3 7 6
12 3 8
10 4 8
10 4 8
10 4 8
10 5 9
8 6 9
8 6 7
7 7 7
6 8 7
4 8 7
3 9 7
3 9 7
1 10 7
0 11 5
0 11 5
0 11 5
5 7 4
5 7 4
5 7 4
5 7 4
4 6 3
4 6 3
3 5 2
3 5 2
4 6 3
4 6 3
4 6 3
4 6 3
4 6 3
4 6 3
4 6 3
4 6 3
6 8 7
6 8 7
6 8 7
6 8 7
6 8 7
6 8 7
6 8 7
6 8 7
4 6 5
4 6 5
3 5 4
3 5 4
3 5 4
3 5 4
2 4 3
2 4 3
2 4 3
2 4 3
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
6 5 1
6 5 1
6 5 1
7 6 2
6 7 2
6 7 2
6 8 3
6 8 3
4 9 3
5 10 4
5 10 4
5 10 4
6 11 5
6 11 5
6 11 5
6 11 5
8 8 8
8 8 8
7 7 7
6 6 6
6 6 6
5 5 5
4 4 4
4 4 4
8 8 8
8 8 8
9 9 9
9 9 9
10 10 10
10 10 10
10 10 10
11 11 11
15 11 8
15 11 8
15 11 8
12 11 7
12 11 7
11 10 6
11 10 6
11 10 6
9 8 4
9 8 4
9 8 4
10 9 5
10 9 5
10 9 5
11 10 6
11 10 6
6 12 12
5 11 11
4 10 10
3 9 9
2 8 8
3 7 8
4 8 9
4 8 9
5 9 10
5 9 10
6 10 11
5 11 11
4 10 10
3 9 9
2 8 8
2 8 8
10 3 10
10 3 10
9 4 10
9 4 10
8 6 11
7 7 9
7 7 9
6 7 9
4 8 7
3 9 7
1 10 7
0 11 5
0 11 5
0 12 5
0 12 5
0 12 5
5 7 4
5 7 4
5 7 4
5 7 4
4 6 3
4 6 3
3 5 2
3 5 2
4 6 3
4 6 3
4 6 3
4 6 3
4 6 3
4 6 3
4 6 3
4 6 3
6 8 7
6 8 7
6 8 7
6 8 7
6 8 7
6 8 7
6 8 7
6 8 7
3 5 4
3 5 4
3 5 4
3 5 4
3 5 4
3 5 4
2 4 3
2 4 3
2 4 3
2 4 3
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
7 3 0
8 4 1
6 5 1
6 5 1
6 7 2
5 7 2
3 8 2
4 9 3
3 10 3
3 10 3
4 11 4
4 11 4
5 12 5
6 11 5
7 12 6
7 12 6
9 11 10
8 10 9
7 9 8
7 9 8
6 8 7
5 7 6
4 6 5
4 6 5
9 9 9
9 9 9
9 9 9
10 10 10
10 10 10
10 10 10
10 10 10
10 10 10
13 12 10
13 12 10
12 12 10
11 11 9
10 12 9
9 11 8
7 12 8
7 12 8
3 9 5
5 10 6
5 10 6
5 10 6
6 11 7
9 11 8
9 11 8
9 11 8
3 13 12
3 12 11
1 10 9
0 9 8
2 8 8
3 9 9
5 9 10
6 10 11
5 9 10
5 9 10
5 11 11
5 11 11
2 11 10
1 10 9
0 9 8
0 8 7
4 5 10
4 5 10
5 6 10
5 6 10
4 8 11
4 8 9
4 10 10
4 10 10
1 10 7
1 10 7
0 11 5
0 11 5
0 12 5
0 12 3
0 12 3
0 12 3
5 7 4
5 7 4
5 7 4
5 7 4
4 6 3
4 6 3
3 5 2
3 5 2
4 6 3
4 6 3
4 6 3
4 6 3
4 6 3
4 6 3
4 6 3
4 6 3
6 8 7
6 8 7
6 8 7
6 8 7
6 8 7
6 8 7
6 8 7
6 8 7
2 4 3
2 4 3
2 4 3
2 4 3
2 4 3
2 4 3
3 5 4
